num_particles,inertia,cognition,social,gen,epoch_stop,solution_found,fitness
40, 0.5, 2.6, 0.4, 0, 99, [1. 3.], 1.448453283317517e-21
40, 0.5, 2.6, 0.4, 1, 100, [1. 3.], 3.5241823404617e-20
40, 0.5, 2.6, 0.4, 2, 112, [1. 3.], 7.158674242229034e-23
40, 0.5, 2.6, 0.4, 3, 86, [1. 3.], 1.3741824928252084e-18
40, 0.5, 2.6, 0.4, 4, 101, [1. 3.], 1.1777493338710233e-22
40, 0.5, 2.6, 0.4, 5, 81, [1.         3.00000001], 5.3892217790231166e-17
40, 0.5, 2.6, 0.4, 6, 95, [1. 3.], 9.995580566386917e-19
40, 0.5, 2.6, 0.4, 7, 92, [1. 3.], 1.0716078616106264e-18
40, 0.5, 2.6, 0.4, 8, 83, [1.         2.99999999], 1.031335723864564e-16
40, 0.5, 2.6, 0.4, 9, 75, [0.99999996 3.00000004], 3.2345009583383637e-15
40, 0.5, 2.6, 0.4, 10, 90, [1. 3.], 2.9703911535395237e-18
40, 0.5, 2.6, 0.4, 11, 88, [1. 3.], 5.341060521204355e-19
40, 0.5, 2.6, 0.4, 12, 79, [1. 3.], 7.688340371769867e-18
40, 0.5, 2.6, 0.4, 13, 101, [1. 3.], 2.2941205482618114e-21
40, 0.5, 2.6, 0.4, 14, 114, [1. 3.], 1.131826072374899e-25
40, 0.5, 2.6, 0.4, 15, 93, [1. 3.], 1.9848227668152447e-20
40, 0.5, 2.6, 0.4, 16, 86, [0.99999999 3.00000002], 1.5792677143423919e-15
40, 0.5, 2.6, 0.4, 17, 81, [1.00000001 2.99999999], 2.322366914237896e-16
40, 0.5, 2.6, 0.4, 18, 94, [1. 3.], 5.484009241504235e-19
40, 0.5, 2.6, 0.4, 19, 96, [1. 3.], 2.5205777742105988e-20
40, 0.5, 2.6, 0.5, 0, 90, [1. 3.], 1.1227755442199527e-18
40, 0.5, 2.6, 0.5, 1, 99, [1. 3.], 1.5385788030975184e-18
40, 0.5, 2.6, 0.5, 2, 134, [1. 3.], 8.300394444735486e-27
40, 0.5, 2.6, 0.5, 3, 95, [1. 3.], 1.8197665559221727e-19
40, 0.5, 2.6, 0.5, 4, 103, [1. 3.], 8.012294672499945e-20
40, 0.5, 2.6, 0.5, 5, 98, [1. 3.], 5.462950409366109e-19
40, 0.5, 2.6, 0.5, 6, 106, [1. 3.], 1.6570770286558507e-22
40, 0.5, 2.6, 0.5, 7, 101, [1. 3.], 5.327186072206474e-19
40, 0.5, 2.6, 0.5, 8, 100, [1. 3.], 6.255287133988151e-20
40, 0.5, 2.6, 0.5, 9, 99, [1. 3.], 1.1880819059462006e-18
40, 0.5, 2.6, 0.5, 10, 86, [1. 3.], 1.30497727732221e-17
40, 0.5, 2.6, 0.5, 11, 97, [1. 3.], 6.386870428288622e-21
40, 0.5, 2.6, 0.5, 12, 103, [1. 3.], 4.2790972275983494e-21
40, 0.5, 2.6, 0.5, 13, 88, [1. 3.], 4.850081033153354e-17
40, 0.5, 2.6, 0.5, 14, 95, [1. 3.], 1.4098621364469263e-18
40, 0.5, 2.6, 0.5, 15, 95, [1. 3.], 5.540290446307163e-20
40, 0.5, 2.6, 0.5, 16, 95, [1. 3.], 7.932407379631731e-18
40, 0.5, 2.6, 0.5, 17, 103, [1. 3.], 2.462706668791809e-19
40, 0.5, 2.6, 0.5, 18, 111, [1. 3.], 3.4130221545440423e-20
40, 0.5, 2.6, 0.5, 19, 103, [1. 3.], 9.028086957036525e-21
40, 0.5, 2.6, 0.6, 0, 98, [1. 3.], 2.409921476367372e-18
40, 0.5, 2.6, 0.6, 1, 96, [1. 3.], 1.0470722843069118e-17
40, 0.5, 2.6, 0.6, 2, 116, [1. 3.], 1.8049681036620447e-23
40, 0.5, 2.6, 0.6, 3, 101, [1. 3.], 5.539141479312837e-20
40, 0.5, 2.6, 0.6, 4, 135, [1. 3.], 4.348911284392916e-26
40, 0.5, 2.6, 0.6, 5, 91, [1. 3.], 3.796961456961265e-17
40, 0.5, 2.6, 0.6, 6, 97, [1. 3.], 3.5969586645697705e-18
40, 0.5, 2.6, 0.6, 7, 99, [1. 3.], 1.0409300068476512e-17
40, 0.5, 2.6, 0.6, 8, 98, [1. 3.], 4.464240003697493e-19
40, 0.5, 2.6, 0.6, 9, 104, [1. 3.], 2.671092783011642e-19
40, 0.5, 2.6, 0.6, 10, 109, [1. 3.], 6.070459812044851e-20
40, 0.5, 2.6, 0.6, 11, 99, [1. 3.], 9.317996103558314e-19
40, 0.5, 2.6, 0.6, 12, 103, [1. 3.], 3.691429158916114e-21
40, 0.5, 2.6, 0.6, 13, 93, [1. 3.], 2.430115711967774e-19
40, 0.5, 2.6, 0.6, 14, 98, [1.         3.00000001], 7.835743962341084e-17
40, 0.5, 2.6, 0.6, 15, 99, [1. 3.], 8.299843681378553e-20
40, 0.5, 2.6, 0.6, 16, 114, [1. 3.], 3.9795294532198023e-22
40, 0.5, 2.6, 0.6, 17, 101, [1. 3.], 1.1690774273551262e-20
40, 0.5, 2.6, 0.6, 18, 97, [1. 3.], 4.5365454135190146e-17
40, 0.5, 2.6, 0.6, 19, 104, [1. 3.], 3.1810562116043565e-20
40, 0.5, 2.6, 0.7, 0, 90, [1. 3.], 6.768990145798943e-18
40, 0.5, 2.6, 0.7, 1, 103, [1. 3.], 2.6225856395835326e-18
40, 0.5, 2.6, 0.7, 2, 110, [1. 3.], 6.489267138294226e-20
40, 0.5, 2.6, 0.7, 3, 121, [1. 3.], 3.151325845844884e-23
40, 0.5, 2.6, 0.7, 4, 106, [1. 3.], 5.7461573705227276e-18
40, 0.5, 2.6, 0.7, 5, 116, [1. 3.], 2.4741712262316772e-21
40, 0.5, 2.6, 0.7, 6, 93, [1.00000001 2.99999998], 1.0096060408544777e-15
40, 0.5, 2.6, 0.7, 7, 101, [1. 3.], 5.504474110668758e-19
40, 0.5, 2.6, 0.7, 8, 95, [1. 3.], 9.212845661901913e-19
40, 0.5, 2.6, 0.7, 9, 112, [1. 3.], 1.405597706638723e-20
40, 0.5, 2.6, 0.7, 10, 108, [1. 3.], 8.483307324363559e-19
40, 0.5, 2.6, 0.7, 11, 131, [1. 3.], 4.896501708658896e-22
40, 0.5, 2.6, 0.7, 12, 116, [1. 3.], 1.5958770497452326e-23
40, 0.5, 2.6, 0.7, 13, 115, [1. 3.], 2.996848364143898e-20
40, 0.5, 2.6, 0.7, 14, 98, [1. 3.], 2.306386421667465e-18
40, 0.5, 2.6, 0.7, 15, 104, [1. 3.], 1.1065682835297428e-19
40, 0.5, 2.6, 0.7, 16, 101, [1. 3.], 1.8260801632194509e-19
40, 0.5, 2.6, 0.7, 17, 100, [1. 3.], 7.912980156238655e-19
40, 0.5, 2.6, 0.7, 18, 104, [1. 3.], 1.2106991653091813e-19
40, 0.5, 2.6, 0.7, 19, 101, [1. 3.], 1.9063683243355154e-19
40, 0.5, 2.6, 0.8, 0, 119, [1. 3.], 1.5677408685344333e-21
40, 0.5, 2.6, 0.8, 1, 101, [1. 3.], 2.9143615301620628e-18
40, 0.5, 2.6, 0.8, 2, 105, [1. 3.], 9.6412794170567e-20
